,cores,protein,start,total,per_pdb
1,1,all,0:00:01.141749,0:24:17.820821,0 days 00:00:02.158043
2,2,all,0:00:03.217692,0:13:41.313353,0 days 00:00:01.211994
3,3,all,0:00:01.976362,0:12:15.375207,0 days 00:00:01.086517
4,4,all,0:00:00.751226,0:08:29.736099,0 days 00:00:00.754052
ARID3A_log.txt,1,ARID3A,0:00:00.996626,0:00:09.694964,0 days 00:00:02.899446
BCL2L1_log.txt,1,BCL2L1,0:00:00.921881,0:03:34.888324,0 days 00:00:02.205840
BCL2_log.txt,1,BCL2,0:00:00.741709,0:00:57.860816,0 days 00:00:01.969624
FAK1_log.txt,1,FAK1,0:00:00.737919,0:01:26.830583,0 days 00:00:02.459790
FKBP1A_log.txt,1,FKBP1A,0:00:02.872316,0:01:55.940839,0 days 00:00:01.916416
KRAS_log.txt,1,KRAS,0:00:00.705406,0:08:55.289347,0 days 00:00:02.246151
MAP2LC3B_log.txt,1,MAP2LC3B,0:00:00.951312,0:00:51.174885,0 days 00:00:02.008943
MHL1_log.txt,1,MHL1,0:00:00.940093,0:00:18.445892,0 days 00:00:02.188225
MZF1_log.txt,1,MZF1,0:00:00.702549,0:00:07.943397,0 days 00:00:03.620424
PPIA_log.txt,1,PPIA,0:00:00.906523,0:05:16.641295,0 days 00:00:02.077202
TRAP1_log.txt,1,TRAP1,0:00:00.825823,0:00:50.902979,0 days 00:00:02.503858
ULK1_log.txt,1,ULK1,0:00:00.753054,0:00:18.707882,0 days 00:00:02.564975
total,1,all,NA,0 days 00:00:24.577104,0 days 00:00:02.184631
